Путь;Каталог;Имя файла;Расширение;Размер, байт;Изменён;Разбор;Формат по содержимому;Статус
ARXIV/UDH3/Vfp98/FOX.MSK;ARXIV/UDH3/Vfp98;FOX.MSK;.msk;166;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/FOXFONT.850;ARXIV/UDH3/Vfp98;FOXFONT.850;.850;16600;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/FOXFONT.852;ARXIV/UDH3/Vfp98;FOXFONT.852;.852;16596;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/FOXFONT.866;ARXIV/UDH3/Vfp98;FOXFONT.866;.866;16596;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/FOXFONT.FON;ARXIV/UDH3/Vfp98;FOXFONT.FON;.fon;16596;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/FOXHHELP.EXE;ARXIV/UDH3/Vfp98;FOXHHELP.EXE;.exe;26112;1998-06-08 19:00:00;;;ok
ARXIV/UDH3/Vfp98/FOXPRO.H;ARXIV/UDH3/Vfp98;FOXPRO.H;.h;39489;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/FOXRUN.PIF;ARXIV/UDH3/Vfp98;FOXRUN.PIF;.pif;707;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/FOXTOOLS.FLL;ARXIV/UDH3/Vfp98;FOXTOOLS.FLL;.fll;41548;1998-06-08 19:00:00;;;ok
ARXIV/UDH3/Vfp98/FOXUSER.DBF;ARXIV/UDH3/Vfp98;FOXUSER.DBF;.dbf;11033;2019-10-28 11:18:11;DBF;Visual FoxPro;ok
ARXIV/UDH3/Vfp98/FOXUSER.FPT;ARXIV/UDH3/Vfp98;FOXUSER.FPT;.fpt;115392;2019-10-28 11:18:11;;;ok
ARXIV/UDH3/Vfp98/FPOLE.DLL;ARXIV/UDH3/Vfp98;FPOLE.DLL;.dll;43520;1998-06-08 19:00:00;;;ok
ARXIV/UDH3/Vfp98/FPOLE.OCX;ARXIV/UDH3/Vfp98;FPOLE.OCX;.ocx;45624;1998-06-22 19:00:00;;;ok
ARXIV/UDH3/Vfp98/GALLERY.APP;ARXIV/UDH3/Vfp98;GALLERY.APP;.app;490;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/GENHTML.PRG;ARXIV/UDH3/Vfp98;GENHTML.PRG;.prg;20616;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/GENMENU.PRG;ARXIV/UDH3/Vfp98;GENMENU.PRG;.prg;75930;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/HLP2FOX.PRG;ARXIV/UDH3/Vfp98;HLP2FOX.PRG;.prg;2220;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/LABELS.DBF;ARXIV/UDH3/Vfp98;LABELS.DBF;.dbf;6622;1998-05-24 19:00:00;DBF;FoxPro 2.x с memo (.fpt);ok
ARXIV/UDH3/Vfp98/LABELS.FPT;ARXIV/UDH3/Vfp98;LABELS.FPT;.fpt;11520;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/MSCREATE.DIR;ARXIV/UDH3/Vfp98;MSCREATE.DIR;.dir;0;2004-07-20 18:09:22;;;ok
ARXIV/UDH3/Vfp98/RESERVED.FLL;ARXIV/UDH3/Vfp98;RESERVED.FLL;.fll;9728;1998-06-08 19:00:00;;;ok
ARXIV/UDH3/Vfp98/RUNACTD.PRG;ARXIV/UDH3/Vfp98;RUNACTD.PRG;.prg;8505;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/SCCTEXT.PRG;ARXIV/UDH3/Vfp98;SCCTEXT.PRG;.prg;59390;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/SPELLCHK.APP;ARXIV/UDH3/Vfp98;SPELLCHK.APP;.app;77607;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/VFP6.EXE;ARXIV/UDH3/Vfp98;VFP6.EXE;.exe;4192528;1998-06-15 19:00:00;;;ok
ARXIV/UDH3/Vfp98/VFP6.rar;ARXIV/UDH3/Vfp98;VFP6.rar;.rar;2062531;2007-09-12 05:31:26;;;ok
ARXIV/UDH3/Vfp98/VFP6ENU.DLL;ARXIV/UDH3/Vfp98;VFP6ENU.DLL;.dll;1094144;1998-06-15 19:00:00;;;ok
ARXIV/UDH3/Vfp98/VFP6FAQ.TXT;ARXIV/UDH3/Vfp98;VFP6FAQ.TXT;.txt;39172;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/VFP6STRT.APP;ARXIV/UDH3/Vfp98;VFP6STRT.APP;.app;792258;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/VFPXTAB.PRG;ARXIV/UDH3/Vfp98;VFPXTAB.PRG;.prg;42722;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/WIZARD.APP;ARXIV/UDH3/Vfp98;WIZARD.APP;.app;101446;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/ccc2.dbf;ARXIV/UDH3/Vfp98;ccc2.dbf;.dbf;31111;2006-03-30 12:23:44;DBF;Visual FoxPro;ok
ARXIV/UDH3/Vfp98/ccc3.dbf;ARXIV/UDH3/Vfp98;ccc3.dbf;.dbf;31111;2006-03-30 12:23:44;DBF;Visual FoxPro;ok
ARXIV/UDH3/Vfp98/foxhhelpps.dll;ARXIV/UDH3/Vfp98;foxhhelpps.dll;.dll;6656;1998-06-08 19:00:00;;;ok
ARXIV/UDH3/Vfp98/ssf2.DBF;ARXIV/UDH3/Vfp98;ssf2.DBF;.dbf;28773;2005-02-22 07:53:20;DBF;Visual FoxPro;ok
ARXIV/UDH3/Vfp98/ssf4.dbf;ARXIV/UDH3/Vfp98;ssf4.dbf;.dbf;1504;2005-02-15 05:14:28;DBF;Visual FoxPro;ok
ARXIV/UDH3/Vfp98/sss2.dbf;ARXIV/UDH3/Vfp98;sss2.dbf;.dbf;3946;2019-10-30 05:39:04;DBF;Visual FoxPro;ok
ARXIV/UDH3/Vfp98/sss4.dbf;ARXIV/UDH3/Vfp98;sss4.dbf;.dbf;21854;2005-02-15 05:03:54;DBF;Visual FoxPro;ok
ARXIV/UDH3/Vfp98/Api/MSCREATE.DIR;ARXIV/UDH3/Vfp98/Api;MSCREATE.DIR;.dir;0;2004-07-20 18:09:34;;;ok
ARXIV/UDH3/Vfp98/Api/OCXAPI.LIB;ARXIV/UDH3/Vfp98/Api;OCXAPI.LIB;.lib;51448;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/PRO_EXT.H;ARXIV/UDH3/Vfp98/Api;PRO_EXT.H;.h;40964;1998-03-27 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/WINAPIMS.LIB;ARXIV/UDH3/Vfp98/Api;WINAPIMS.LIB;.lib;49082;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/EVENT.C;ARXIV/UDH3/Vfp98/Api/Samples;EVENT.C;.c;9807;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/EXAMPLES.DBF;ARXIV/UDH3/Vfp98/Api/Samples;EXAMPLES.DBF;.dbf;5327;1998-05-24 19:00:00;DBF;Visual FoxPro;ok
ARXIV/UDH3/Vfp98/Api/Samples/EXAMPLES.FPT;ARXIV/UDH3/Vfp98/Api/Samples;EXAMPLES.FPT;.fpt;272896;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/GREETING.MAK;ARXIV/UDH3/Vfp98/Api/Samples;GREETING.MAK;.mak;6053;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/HELLO.C;ARXIV/UDH3/Vfp98/Api/Samples;HELLO.C;.c;425;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/LOGIREPL.C;ARXIV/UDH3/Vfp98/Api/Samples;LOGIREPL.C;.c;1032;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/MEMREPL.C;ARXIV/UDH3/Vfp98/Api/Samples;MEMREPL.C;.c;2271;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/MODIFER.C;ARXIV/UDH3/Vfp98/Api/Samples;MODIFER.C;.c;1931;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/MSCREATE.DIR;ARXIV/UDH3/Vfp98/Api/Samples;MSCREATE.DIR;.dir;0;2004-07-20 18:09:34;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/NEWVAR.C;ARXIV/UDH3/Vfp98/Api/Samples;NEWVAR.C;.c;1494;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/REVERSE.C;ARXIV/UDH3/Vfp98/Api/Samples;REVERSE.C;.c;1619;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib/FOXTLIB.CPP;ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib;FOXTLIB.CPP;.cpp;1911;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib/FOXTLIB.DEF;ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib;FOXTLIB.DEF;.def;222;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib/FOXTLIB.H;ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib;FOXTLIB.H;.h;531;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib/FOXTLIB.MAK;ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib;FOXTLIB.MAK;.mak;23862;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib/FOXTLIB.ODL;ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib;FOXTLIB.ODL;.odl;2473;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib/FOXTLIB.RC;ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib;FOXTLIB.RC;.rc;3089;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib/MSCREATE.DIR;ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib;MSCREATE.DIR;.dir;0;2004-07-20 18:09:34;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib/README.TXT;ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib;README.TXT;.txt;3714;1998-05-26 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib/RESOURCE.H;ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib;RESOURCE.H;.h;484;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib/STDAFX.CPP;ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib;STDAFX.CPP;.cpp;204;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib/STDAFX.H;ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib;STDAFX.H;.h;534;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib/foxtlibctl.bmp;ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib;foxtlibctl.bmp;.bmp;238;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib/foxtlibctl.cpp;ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib;foxtlibctl.cpp;.cpp;36491;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib/foxtlibctl.h;ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib;foxtlibctl.h;.h;2949;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib/foxtlibppg.cpp;ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib;foxtlibppg.cpp;.cpp;2395;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib/foxtlibppg.h;ARXIV/UDH3/Vfp98/Api/Samples/Foxtlib;foxtlibppg.h;.h;984;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/ACTIVEX.DEP;ARXIV/UDH3/Vfp98/Distrib.src;ACTIVEX.DEP;.dep;5527;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/COMPRESS.DBF;ARXIV/UDH3/Vfp98/Distrib.src;COMPRESS.DBF;.dbf;29615;1998-05-24 19:00:00;DBF;dBase III / FoxPro без memo;ok
ARXIV/UDH3/Vfp98/Distrib.src/GR8409.DLL;ARXIV/UDH3/Vfp98/Distrib.src;GR8409.DLL;.dll;5120;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/GR8GALRY.GRA;ARXIV/UDH3/Vfp98/Distrib.src;GR8GALRY.GRA;.gra;229376;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/GRAPH8.DEP;ARXIV/UDH3/Vfp98/Distrib.src;GRAPH8.DEP;.dep;3658;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/GRAPH8.EXE;ARXIV/UDH3/Vfp98/Distrib.src;GRAPH8.EXE;.exe;1584912;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/GRAPH8.OLB;ARXIV/UDH3/Vfp98/Distrib.src;GRAPH8.OLB;.olb;111104;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/GRAPH8RT.SRG;ARXIV/UDH3/Vfp98/Distrib.src;GRAPH8RT.SRG;.srg;3307;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/GRINTL32.DLL;ARXIV/UDH3/Vfp98/Distrib.src;GRINTL32.DLL;.dll;161792;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/MRT7ENU.DLL;ARXIV/UDH3/Vfp98/Distrib.src;MRT7ENU.DLL;.dll;487184;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/MSCREATE.DIR;ARXIV/UDH3/Vfp98/Distrib.src;MSCREATE.DIR;.dir;0;2004-07-20 18:09:28;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/MSO97RT.DLL;ARXIV/UDH3/Vfp98/Distrib.src;MSO97RT.DLL;.dll;3673360;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/ODBC.DEP;ARXIV/UDH3/Vfp98/Distrib.src;ODBC.DEP;.dep;22154;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/SCP32.DLL;ARXIV/UDH3/Vfp98/Distrib.src;SCP32.DLL;.dll;15872;1998-03-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/SETUP.DEP;ARXIV/UDH3/Vfp98/Distrib.src;SETUP.DEP;.dep;2035;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/VFP6R.DEP;ARXIV/UDH3/Vfp98/Distrib.src;VFP6R.DEP;.dep;3682;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/VFP6R.REG;ARXIV/UDH3/Vfp98/Distrib.src;VFP6R.REG;.reg;870;1998-05-24 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/Setup/ACMSETUP.EXE;ARXIV/UDH3/Vfp98/Distrib.src/Setup;ACMSETUP.EXE;.exe;371200;1998-05-10 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/Setup/ACMSETUP.HLP;ARXIV/UDH3/Vfp98/Distrib.src/Setup;ACMSETUP.HLP;.hlp;14490;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/Setup/ADVPACK.DLL;ARXIV/UDH3/Vfp98/Distrib.src/Setup;ADVPACK.DLL;.dll;74960;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/Setup/DEFAULT.SED;ARXIV/UDH3/Vfp98/Distrib.src/Setup;DEFAULT.SED;.sed;1053;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/Setup/DIANTZ.EXE;ARXIV/UDH3/Vfp98/Distrib.src/Setup;DIANTZ.EXE;.exe;121344;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/Setup/IEXPRESS.EXE;ARXIV/UDH3/Vfp98/Distrib.src/Setup;IEXPRESS.EXE;.exe;130880;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/Setup/MAKECAB.EXE;ARXIV/UDH3/Vfp98/Distrib.src/Setup;MAKECAB.EXE;.exe;152576;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/Setup/MSCREATE.DIR;ARXIV/UDH3/Vfp98/Distrib.src/Setup;MSCREATE.DIR;.dir;0;2004-07-20 18:09:32;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/Setup/MSSETUP.DLL;ARXIV/UDH3/Vfp98/Distrib.src/Setup;MSSETUP.DLL;.dll;283136;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/Setup/ODBCCONF.EXE;ARXIV/UDH3/Vfp98/Distrib.src/Setup;ODBCCONF.EXE;.exe;31744;1998-06-21 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/Setup/ODBCKEY.INF;ARXIV/UDH3/Vfp98/Distrib.src/Setup;ODBCKEY.INF;.inf;3281;1998-05-30 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/Setup/ODBCSTF.DLL;ARXIV/UDH3/Vfp98/Distrib.src/Setup;ODBCSTF.DLL;.dll;28672;1998-06-21 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/Setup/SETUP.EXE;ARXIV/UDH3/Vfp98/Distrib.src/Setup;SETUP.EXE;.exe;74192;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/Setup/SETUP.INI;ARXIV/UDH3/Vfp98/Distrib.src/Setup;SETUP.INI;.ini;149;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/Setup/SETUP.STF;ARXIV/UDH3/Vfp98/Distrib.src/Setup;SETUP.STF;.stf;67;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/Setup/SETUP.TDF;ARXIV/UDH3/Vfp98/Distrib.src/Setup;SETUP.TDF;.tdf;84;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/Setup/UPDFILE.EXE;ARXIV/UDH3/Vfp98/Distrib.src/Setup;UPDFILE.EXE;.exe;61936;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/Setup/W95INF16.DLL;ARXIV/UDH3/Vfp98/Distrib.src/Setup;W95INF16.DLL;.dll;2272;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/Setup/W95INF32.DLL;ARXIV/UDH3/Vfp98/Distrib.src/Setup;W95INF32.DLL;.dll;4608;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/Setup/WEXTRACT.EXE;ARXIV/UDH3/Vfp98/Distrib.src/Setup;WEXTRACT.EXE;.exe;70368;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/Setup/WIZSET32.DLL;ARXIV/UDH3/Vfp98/Distrib.src/Setup;WIZSET32.DLL;.dll;60928;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/12500852.CPX;ARXIV/UDH3/Vfp98/Distrib.src/System;12500852.CPX;.cpx;2320;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/12510866.CPX;ARXIV/UDH3/Vfp98/Distrib.src/System;12510866.CPX;.cpx;2318;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/12520437.CPX;ARXIV/UDH3/Vfp98/Distrib.src/System;12520437.CPX;.cpx;2151;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/12520850.CPX;ARXIV/UDH3/Vfp98/Distrib.src/System;12520850.CPX;.cpx;2233;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/12520860.CPX;ARXIV/UDH3/Vfp98/Distrib.src/System;12520860.CPX;.cpx;2167;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/12520861.CPX;ARXIV/UDH3/Vfp98/Distrib.src/System;12520861.CPX;.cpx;2162;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/12520863.CPX;ARXIV/UDH3/Vfp98/Distrib.src/System;12520863.CPX;.cpx;2173;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/12520865.CPX;ARXIV/UDH3/Vfp98/Distrib.src/System;12520865.CPX;.cpx;2147;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/ASYCFILT.DLL;ARXIV/UDH3/Vfp98/Distrib.src/System;ASYCFILT.DLL;.dll;147728;1998-06-17 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/AUTMGR32.EXE;ARXIV/UDH3/Vfp98/Distrib.src/System;AUTMGR32.EXE;.exe;153088;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/AUTPRX32.DLL;ARXIV/UDH3/Vfp98/Distrib.src/System;AUTPRX32.DLL;.dll;140288;1998-05-30 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/CLIREG32.EXE;ARXIV/UDH3/Vfp98/Distrib.src/System;CLIREG32.EXE;.exe;42496;1998-06-16 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/COMCAT.DLL;ARXIV/UDH3/Vfp98/Distrib.src/System;COMCAT.DLL;.dll;22288;1998-05-30 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/COMCTL1.CNT;ARXIV/UDH3/Vfp98/Distrib.src/System;COMCTL1.CNT;.cnt;1288;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/COMCTL1.HLP;ARXIV/UDH3/Vfp98/Distrib.src/System;COMCTL1.HLP;.hlp;438481;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/COMCTL32.DEP;ARXIV/UDH3/Vfp98/Distrib.src/System;COMCTL32.DEP;.dep;2495;1998-06-13 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/COMCTL32.OCX;ARXIV/UDH3/Vfp98/Distrib.src/System;COMCTL32.OCX;.ocx;609584;1998-06-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/DBMSSOCN.DLL;ARXIV/UDH3/Vfp98/Distrib.src/System;DBMSSOCN.DLL;.dll;11536;1998-06-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/DBNMPNTW.DLL;ARXIV/UDH3/Vfp98/Distrib.src/System;DBNMPNTW.DLL;.dll;24848;1998-06-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/DRVSSRVR.HLP;ARXIV/UDH3/Vfp98/Distrib.src/System;DRVSSRVR.HLP;.hlp;15787;1998-05-30 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/DRVVFP.CNT;ARXIV/UDH3/Vfp98/Distrib.src/System;DRVVFP.CNT;.cnt;5446;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/DRVVFP.HLP;ARXIV/UDH3/Vfp98/Distrib.src/System;DRVVFP.HLP;.hlp;198797;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/DS16GT.DLL;ARXIV/UDH3/Vfp98/Distrib.src/System;DS16GT.DLL;.dll;4656;1998-06-21 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/DS32GT.DLL;ARXIV/UDH3/Vfp98/Distrib.src/System;DS32GT.DLL;.dll;5632;1998-06-21 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/EXPSRV.DLL;ARXIV/UDH3/Vfp98/Distrib.src/System;EXPSRV.DLL;.dll;378128;1998-06-17 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/HH.EXE;ARXIV/UDH3/Vfp98/Distrib.src/System;HH.EXE;.exe;30992;1998-06-19 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/HHCTRL.OCX;ARXIV/UDH3/Vfp98/Distrib.src/System;HHCTRL.OCX;.ocx;542992;1998-06-12 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/HLP95EN.DLL;ARXIV/UDH3/Vfp98/Distrib.src/System;HLP95EN.DLL;.dll;31744;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/INSTCAT.SQL;ARXIV/UDH3/Vfp98/Distrib.src/System;INSTCAT.SQL;.sql;558789;1998-06-04 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/ITIRCL.DLL;ARXIV/UDH3/Vfp98/Distrib.src/System;ITIRCL.DLL;.dll;138000;1998-05-30 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/ITSS.DLL;ARXIV/UDH3/Vfp98/Distrib.src/System;ITSS.DLL;.dll;138048;1998-05-30 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/MFC40.DLL;ARXIV/UDH3/Vfp98/Distrib.src/System;MFC40.DLL;.dll;921872;1998-04-23 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/MSCPXL32.DLL;ARXIV/UDH3/Vfp98/Distrib.src/System;MSCPXL32.DLL;.dll;13824;1998-06-11 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/MSCREATE.DIR;ARXIV/UDH3/Vfp98/Distrib.src/System;MSCREATE.DIR;.dir;0;2004-07-20 18:09:28;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/MSDADC.DLL;ARXIV/UDH3/Vfp98/Distrib.src/System;MSDADC.DLL;.dll;63760;1998-06-09 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/MSDAENUM.DLL;ARXIV/UDH3/Vfp98/Distrib.src/System;MSDAENUM.DLL;.dll;17856;1998-06-09 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/MSDAER.DLL;ARXIV/UDH3/Vfp98/Distrib.src/System;MSDAER.DLL;.dll;30992;1998-06-09 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/MSDAERR.DLL;ARXIV/UDH3/Vfp98/Distrib.src/System;MSDAERR.DLL;.dll;15360;1998-06-09 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/MSDAPS.DLL;ARXIV/UDH3/Vfp98/Distrib.src/System;MSDAPS.DLL;.dll;8160;1998-06-09 19:00:00;;;ok
ARXIV/UDH3/Vfp98/Distrib.src/System/MSDASQL.DLL;ARXIV/UDH3/Vfp98/Distrib.src/System;MSDASQL.DLL;.dll;286992;1998-06-18 19:00:00;;;ok
