Путь;Имя файла;№ листа;Имя листа;Видимость;Тип листа;Строка заголовка;Диапазон;Кол-во колонок;Заголовки;Заголовок: статус;Ошибка
ARXIV/Fərdi yaş və qarajlar/Mərdəkan, Şüvəlan həyət evi.xls;Mərdəkan, Şüvəlan həyət evi.xls;2;Şüvəlan;visible;worksheet;1;A1:G1873;7;T/p № | Ad, soy ad, ata adı | Qəsəbə | Küçə | ev № | Əlavə məlumat | T/p tərtib etdiyi təşkilat;найден;
ARXIV/Fərdi yaş və qarajlar/Mərdəkan, Şüvəlan həyət evi.xls;Mərdəkan, Şüvəlan həyət evi.xls;3;Лист3;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Fərdi yaş və qarajlar/Nard-Sabuncu həy evi.xls;Nard-Sabuncu həy evi.xls;1;Nardaran;visible;worksheet;1;A1:G858;7;Opis | Adı soy adı | Qəsəbə | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Fərdi yaş və qarajlar/Nard-Sabuncu həy evi.xls;Nard-Sabuncu həy evi.xls;2;Sabuncu;visible;worksheet;3;A1:G1216;7;Opis | Adı soy adı | Qəsəbə | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Fərdi yaş və qarajlar/Nard-Sabuncu həy evi.xls;Nard-Sabuncu həy evi.xls;3;Sheet3;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Fərdi yaş və qarajlar/Pirşağı həy evi.xls;Pirşağı həy evi.xls;1;Sheet1;visible;worksheet;1;A1:G563;7;Opis | Adı soy adı | Qəsəbə | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Fərdi yaş və qarajlar/Pirşağı həy evi.xls;Pirşağı həy evi.xls;2;Sheet2;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Fərdi yaş və qarajlar/Pirşağı həy evi.xls;Pirşağı həy evi.xls;3;Sheet3;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Fərdi yaş və qarajlar/Qaracuxur həy evi.xls;Qaracuxur həy evi.xls;1;Sheet1;visible;worksheet;1;A1:G1856;7;Opis | Adı soy adı | Qəsəbə | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Fərdi yaş və qarajlar/Qaracuxur həy evi.xls;Qaracuxur həy evi.xls;2;Sheet2;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Fərdi yaş və qarajlar/Qaracuxur həy evi.xls;Qaracuxur həy evi.xls;3;Sheet3;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Fərdi yaş və qarajlar/Qaradağ həy evi.xls;Qaradağ həy evi.xls;1;Lökbatan;visible;worksheet;6;A4:I20319;7;N | Ad Soyad | Qəsəbə | Küçə | Ev | Ələvə məlumat | Ələvə;найден;
ARXIV/Fərdi yaş və qarajlar/Qaradağ həy evi.xls;Qaradağ həy evi.xls;2;Qobustan;visible;worksheet;8;A5:G349;7;N | Ad Soyad | Qəsəbə | Küçə | Ev | Ələvə məlumat | Ələvə;найден;
ARXIV/Fərdi yaş və qarajlar/Qaradağ həy evi.xls;Qaradağ həy evi.xls;3;Körgöz;visible;worksheet;6;A3:G348;7;N | Ad Soyad | Qəsəbə | Küçə | Ev | Ələvə məlumat | Ələvə;найден;
ARXIV/Fərdi yaş və qarajlar/Qaradağ həy evi.xls;Qaradağ həy evi.xls;4;Ələt;visible;worksheet;6;A3:G700;7;N | Ad Soyad | Qəsəbə | Küçə | Ev | Ələvə məlumat | Ələvə;найден;
ARXIV/Fərdi yaş və qarajlar/Qaradağ həy evi.xls;Qaradağ həy evi.xls;5;Qobu;visible;worksheet;6;A4:G445;7;N | Ad Soyad | Qəsəbə | Küçə | Ev | Ələvə məlumat | Ələvə;найден;
ARXIV/Fərdi yaş və qarajlar/Qaradağ həy evi.xls;Qaradağ həy evi.xls;6;Qızıldaş;visible;worksheet;8;A6:G61;7;N | Ad Soyad | Qəsəbə | Küçə | Ev | Ələvə məlumat | Ələvə;найден;
ARXIV/Fərdi yaş və qarajlar/Ramana həy evi.xls;Ramana həy evi.xls;1;Sheet1;visible;worksheet;1;A1:G753;7;Opis | Adı soy adı | Qəsəbə | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Fərdi yaş və qarajlar/Ramana həy evi.xls;Ramana həy evi.xls;2;Sheet2;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Fərdi yaş və qarajlar/Ramana həy evi.xls;Ramana həy evi.xls;3;Sheet3;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Fərdi yaş və qarajlar/Surax-Əmircan hey evi.xls;Surax-Əmircan hey evi.xls;1;Suraxanı;visible;worksheet;1;A1:G2751;7;Opis | Adı soy adı | Qəsəbə | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Fərdi yaş və qarajlar/Surax-Əmircan hey evi.xls;Surax-Əmircan hey evi.xls;2;Əmircan;visible;worksheet;2;A2:G897;7;Opis | Adı soy adı | Qəsəbə | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Fərdi yaş və qarajlar/Surax-Əmircan hey evi.xls;Surax-Əmircan hey evi.xls;3;Suraxanı SS;visible;worksheet;4;A2:G37;7;Opis | Adı soy adı | Qəsəbə | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Fərdi yaş və qarajlar/Surax-Əmircan hey evi.xls;Surax-Əmircan hey evi.xls;4;Sheet2;visible;worksheet;;B7:G12;0;;не найден: в верхних строках только данные;
ARXIV/Fərdi yaş və qarajlar/Türkan-Qala həy evi.xls;Türkan-Qala həy evi.xls;1;Türkan;visible;worksheet;5;A2:AR1300;7;N | Ad Soyad | Qəsəbə | Küçə | Ev | Ələvə məlumat | Ələvə;найден;
ARXIV/Fərdi yaş və qarajlar/Türkan-Qala həy evi.xls;Türkan-Qala həy evi.xls;2;Qala;visible;worksheet;7;A3:G344;7;N | Ad Soyad | Qəsəbə | Küçə | Ev | Ələvə məlumat | Ələvə;найден;
ARXIV/Fərdi yaş və qarajlar/Türkan-Qala həy evi.xls;Türkan-Qala həy evi.xls;3;Sheet3;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Fərdi yaş və qarajlar/Vişnyovka, Dübəndi, Xaşa-Xuna.xlsx;Vişnyovka, Dübəndi, Xaşa-Xuna.xlsx;1;Vişnyovka(Albalılıq);visible;worksheet;2;A1:F124;6;№ | Ad, Soy ad, Ata adı | Rayon | Küçə | ev № | Əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Vişnyovka, Dübəndi, Xaşa-Xuna.xlsx;Vişnyovka, Dübəndi, Xaşa-Xuna.xlsx;2;Dübəndi;visible;worksheet;2;A1:F439;6;№ | Ad, Soy ad, Ata adı | Rayon | Küçə | ev № | Əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Vişnyovka, Dübəndi, Xaşa-Xuna.xlsx;Vişnyovka, Dübəndi, Xaşa-Xuna.xlsx;3;Xaşa-Xuna;visible;worksheet;2;A1:F154;6;№ | Ad, Soy ad, Ata adı | Rayon | Küçə | ev № | Əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Vorovski-Rəsulzadə-Biləc həy evi.xls;Vorovski-Rəsulzadə-Biləc həy evi.xls;1;Vorovski;visible;worksheet;1;A1:G1720;7;Opis | Adı soy adı | Qəsəbə | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Fərdi yaş və qarajlar/Vorovski-Rəsulzadə-Biləc həy evi.xls;Vorovski-Rəsulzadə-Biləc həy evi.xls;2;Rəsulzadə;visible;worksheet;3;A3:G1943;7;Opis | Adı soy adı | Qəsəbə | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Fərdi yaş və qarajlar/Vorovski-Rəsulzadə-Biləc həy evi.xls;Vorovski-Rəsulzadə-Biləc həy evi.xls;3;Biləcəri;visible;worksheet;3;A3:G1251;7;Opis | Adı soy adı | Qəsəbə | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Fərdi yaş və qarajlar/Vorovski-Rəsulzadə-Biləc həy evi.xls;Vorovski-Rəsulzadə-Biləc həy evi.xls;4;Sulu-təpə SS;visible;worksheet;4;A2:G172;7;N | Ad Soyad | Qəsəbə | Küçə | ev | əlavə | əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Vorovski-Rəsulzadə-Biləc həy evi.xls;Vorovski-Rəsulzadə-Biləc həy evi.xls;5;Sulu-təpə;visible;worksheet;6;A4:G206;7;N | Ad Soyad | Qəsəbə | Küçə | ev | əlavə | əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Vorovski-Rəsulzadə-Biləc həy evi.xls;Vorovski-Rəsulzadə-Biləc həy evi.xls;6;Vorovski SS;visible;worksheet;5;A3:H27;7;N | Ad Soyad | Qəsəbə | Küçə | ev | əlavə | əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Vorovski-Rəsulzadə-Biləc həy evi.xls;Vorovski-Rəsulzadə-Biləc həy evi.xls;7;Rəsulzadə SS;visible;worksheet;5;A3:H27;7;N | Ad Soyad | Qəsəbə | Küçə | ev | əlavə | əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Yasamal həyət evi.xls;Yasamal həyət evi.xls;1;Лист1;visible;worksheet;1;A1:IV25072;7;opis № | adı soy adı | rayon | ünvan | ev | əlavə ünvan | əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Yasamal həyət evi.xls;Yasamal həyət evi.xls;2;Лист2;visible;worksheet;;A2:O43;0;;не найден: в верхних строках только данные;
ARXIV/Fərdi yaş və qarajlar/Yasamal həyət evi.xls;Yasamal həyət evi.xls;3;Лист3;visible;worksheet;16;B1:P31;2;Va min şərin nəffəsəti filuqad. | Va min şərri hasidin izə hazad;найден;
ARXIV/Fərdi yaş və qarajlar/Yasamal həyət evi.xls;Yasamal həyət evi.xls;4;Лист4;visible;worksheet;2;A1:E99;5;№ | Stansiyanın adı | Rayon | Ünvan | Texniki pasportun tertib olma tarixi;найден;
ARXIV/Fərdi yaş və qarajlar/Zığ həy evi.xls;Zığ həy evi.xls;1;Zığ həy ev və ss;visible;worksheet;1;A1:G1760;7;Opis | Adı soy adı | Qəsəbə | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Fərdi yaş və qarajlar/Zığ həy evi.xls;Zığ həy evi.xls;2;Sheet2;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Fərdi yaş və qarajlar/Zığ həy evi.xls;Zığ həy evi.xls;3;Sheet3;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Fərdi yaş və qarajlar/binəqədi.xls;binəqədi.xls;1;Binəqədi;visible;worksheet;3;A1:H1676;7;Opis | Adı soy adı | Qəsəbə | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Fərdi yaş və qarajlar/binəqədi.xls;binəqədi.xls;2;Binəq SS;visible;worksheet;6;A5:G123;7;Opis | Adı soy adı | Qəsəbə | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Fərdi yaş və qarajlar/binəqədi.xls;binəqədi.xls;3;Лист2;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Fərdi yaş və qarajlar/Əhmədli həy evi.xls;Əhmədli həy evi.xls;1;Лист1;visible;worksheet;1;A1:G1236;7;Opis | Adı soy adı | Rayon | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Fərdi yaş və qarajlar/Əhmədli həy evi.xls;Əhmədli həy evi.xls;2;Лист2;visible;worksheet;;C10:F29;0;;лист пуст;
ARXIV/Fərdi yaş və qarajlar/Əhmədli həy evi.xls;Əhmədli həy evi.xls;3;Лист3;visible;worksheet;;A1;0;;лист пуст;
ARXIV/MS binalar/Лист Microsoft Excel 1.xlsx;Лист Microsoft Excel 1.xlsx;1;Nizami;visible;worksheet;4;A3:E490;5;№ | Küçə adi | Ev № | JEK № | Əlavə məl;найден;
ARXIV/MS binalar/Лист Microsoft Excel 1.xlsx;Лист Microsoft Excel 1.xlsx;2;Binəqədi;visible;worksheet;4;A3:E914;5;№ | Kücə adı | Ev № | JEK № | Əlavə;найден;
ARXIV/MS binalar/Лист Microsoft Excel 1.xlsx;Лист Microsoft Excel 1.xlsx;3;Suraxani;visible;worksheet;3;A2:F310;6;№ | Qəsəbə | Kücə adı | Ev № | JEK № | Əlavə;найден;
ARXIV/MS binalar/Лист Microsoft Excel 1.xlsx;Лист Microsoft Excel 1.xlsx;4;Qaradağ;visible;worksheet;3;A2:F190;6;№ | Qəsəbə | Kücə adı | Ev № | JEK № | Əlavə;найден;
ARXIV/MS binalar/Лист Microsoft Excel 1.xlsx;Лист Microsoft Excel 1.xlsx;5;Nəsimi;visible;worksheet;3;A2:E1040;5;№ | Kücə adı | Ev № | JEK № | Əlavə;найден;
ARXIV/MS binalar/Лист Microsoft Excel 1.xlsx;Лист Microsoft Excel 1.xlsx;6;Yasamal;visible;worksheet;4;A3:E2631;5;№ | Kücə adı | Ev № | JEK № | Əlavə;найден;
ARXIV/MS binalar/Лист Microsoft Excel 1.xlsx;Лист Microsoft Excel 1.xlsx;7;Nərimanov;visible;worksheet;5;A4:E1624;5;№ | Kücə adı | Ev № | JEK № | Əlavə;найден;
ARXIV/MS binalar/Лист Microsoft Excel 1.xlsx;Лист Microsoft Excel 1.xlsx;8;Səbail;visible;worksheet;5;A4:E2648;5;№ | Kücə adı | Ev № | JEK № | Əlavə;найден;
ARXIV/MS binalar/Лист Microsoft Excel 1.xlsx;Лист Microsoft Excel 1.xlsx;9;Xəzər;visible;worksheet;5;A4:F839;6;№ | Qəsəbə | Kücə adı | Ev № | JEK № | Əlavə;найден;
ARXIV/MS binalar/Лист Microsoft Excel 1.xlsx;Лист Microsoft Excel 1.xlsx;10;Sabuncu;visible;worksheet;5;A4:F986;6;№ | Qəsəbə | Kücə adı | Ev № | JEK № | Əlavə;найден;
ARXIV/MS binalar/Лист Microsoft Excel 1.xlsx;Лист Microsoft Excel 1.xlsx;11;Xətai;visible;worksheet;5;A4:E888;5;№ | Kücə adı | Ev № | JEK № | Əlavə;найден;
ARXIV/Qeyri yaşayışlar(MP)/MP ler butun rayonlar.xlsx;MP ler butun rayonlar.xlsx;1;Nərimanov MP;visible;worksheet;3;A2:H1986;6;Opis | Şirkət- sahibin adı | Rayon | Ünvan | ev № | Əlavə məlumat;найден;
ARXIV/Qeyri yaşayışlar(MP)/MP ler butun rayonlar.xlsx;MP ler butun rayonlar.xlsx;2;Səbail MP;visible;worksheet;4;A3:G1719;7;Opis | Şirkət- sahibin adı | Rayon | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Qeyri yaşayışlar(MP)/MP ler butun rayonlar.xlsx;MP ler butun rayonlar.xlsx;3;Nəsimi;visible;worksheet;4;A3:H1862;7;Opis | Şirkət- sahibin adı | Rayon | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Qeyri yaşayışlar(MP)/MP ler butun rayonlar.xlsx;MP ler butun rayonlar.xlsx;4;Nizami;visible;worksheet;3;A2:H1119;7;Opis | Şirkət- sahibin adı | Rayon | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Qeyri yaşayışlar(MP)/MP ler butun rayonlar.xlsx;MP ler butun rayonlar.xlsx;5;Yasamal MP;visible;worksheet;3;A2:H1607;7;Opis | Şirkət- sahibin adı | Rayon | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Qeyri yaşayışlar(MP)/MP ler butun rayonlar.xlsx;MP ler butun rayonlar.xlsx;6;Sabuncu Mp;visible;worksheet;4;A3:H708;7;Opis | Şirkət- sahibin adı | Rayon | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Qeyri yaşayışlar(MP)/MP ler butun rayonlar.xlsx;MP ler butun rayonlar.xlsx;7;Suraxanı MP;visible;worksheet;6;A4:G623;7;Opis | Şirkət- sahibin adı | Rayon | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Qeyri yaşayışlar(MP)/MP ler butun rayonlar.xlsx;MP ler butun rayonlar.xlsx;8;Qaradağ;visible;worksheet;5;A3:H465;7;Opis | Şirkət- sahibin adı | Rayon | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Qeyri yaşayışlar(MP)/MP ler butun rayonlar.xlsx;MP ler butun rayonlar.xlsx;9;Xəzər;visible;worksheet;5;A3:G556;7;Opis | Şirkət- sahibin adı | Rayon | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Qeyri yaşayışlar(MP)/MP ler butun rayonlar.xlsx;MP ler butun rayonlar.xlsx;10;Xətai MP;visible;worksheet;5;A4:H1275;7;Opis | Şirkət- sahibin adı | Rayon | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Qeyri yaşayışlar(MP)/MP ler butun rayonlar.xlsx;MP ler butun rayonlar.xlsx;11;Binəqədi MP;visible;worksheet;4;A3:G1023;7;Opis | Şirkət- sahibin adı | Rayon | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Qeyri yaşayışlar(MP)/Nəsimi-Nizami MP..xlsx;Nəsimi-Nizami MP..xlsx;1;Nəsimi MP;visible;worksheet;1;A1:H1930;7;Opis | Şirkət- sahibin adı | Rayon | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Qeyri yaşayışlar(MP)/Nəsimi-Nizami MP..xlsx;Nəsimi-Nizami MP..xlsx;2;Nizami MP;visible;worksheet;1;A1:H1127;7;Opis | Şirkət- sahibin adı | Rayon | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Qeyri yaşayışlar(MP)/Nəsimi-Nizami MP..xlsx;Nəsimi-Nizami MP..xlsx;3;Лист3;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Qeyri yaşayışlar(MP)/Sab-Sur -Qarad-XəzərMP.xlsx;Sab-Sur -Qarad-XəzərMP.xlsx;1;Sabuncu;visible;worksheet;2;A1:G741;7;Opis | Şirkət- sahibin adı | Rayon | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Qeyri yaşayışlar(MP)/Sab-Sur -Qarad-XəzərMP.xlsx;Sab-Sur -Qarad-XəzərMP.xlsx;2;Suraxanı;visible;worksheet;4;A3:G636;7;Opis | Şirkət- sahibin adı | Rayon | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Qeyri yaşayışlar(MP)/Sab-Sur -Qarad-XəzərMP.xlsx;Sab-Sur -Qarad-XəzərMP.xlsx;3;Qaradağ;visible;worksheet;6;A5:G466;7;Opis | Şirkət- sahibin adı | Rayon | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Qeyri yaşayışlar(MP)/Sab-Sur -Qarad-XəzərMP.xlsx;Sab-Sur -Qarad-XəzərMP.xlsx;4;Xəzər;visible;worksheet;5;A4:G564;7;Opis | Şirkət- sahibin adı | Rayon | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Qeyri yaşayışlar(MP)/Səbail MP.xlsx;Səbail MP.xlsx;1;Лист1;visible;worksheet;3;A2:L1847;7;Opis | Şirkət- sahibin adı | Rayon | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Qeyri yaşayışlar(MP)/Səbail MP.xlsx;Səbail MP.xlsx;2;Лист2;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Qeyri yaşayışlar(MP)/Səbail MP.xlsx;Səbail MP.xlsx;3;Лист3;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Qeyri yaşayışlar(MP)/Xətai-Binəqədi  MP.xlsx;Xətai-Binəqədi  MP.xlsx;1;Xətai;visible;worksheet;2;A1:G1310;7;Opis | Şirkət- sahibin adı | Rayon | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Qeyri yaşayışlar(MP)/Xətai-Binəqədi  MP.xlsx;Xətai-Binəqədi  MP.xlsx;2;Binəqədi;visible;worksheet;2;A1:G1005;7;Opis | Şirkət- sahibin adı | Rayon | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Qeyri yaşayışlar(MP)/Xətai-Binəqədi  MP.xlsx;Xətai-Binəqədi  MP.xlsx;3;Лист3;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Qeyri yaşayışlar(MP)/YDM.xlsx;YDM.xlsx;1;Лист1;visible;worksheet;4;A4:G156;4;№ | Ünvan | № | YDM №;найден;
ARXIV/Qeyri yaşayışlar(MP)/YDM.xlsx;YDM.xlsx;2;Лист2;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Qeyri yaşayışlar(MP)/YDM.xlsx;YDM.xlsx;3;Лист3;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Qeyri yaşayışlar(MP)/Yasamal MP.xls;Yasamal MP.xls;1;Sheet1;visible;worksheet;1;A1:H1607;7;Opis | Şirkət- sahibin adı | Rayon | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Qeyri yaşayışlar(MP)/Yasamal MP.xls;Yasamal MP.xls;2;Sheet2;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Qeyri yaşayışlar(MP)/Yasamal MP.xls;Yasamal MP.xls;3;Sheet3;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Təhvil Abşeron/Aşağı Güzdək.xls;Aşağı Güzdək.xls;1;Лист1;visible;worksheet;4;A1:J174;4;N | Soyadı Adı | İnv N | Rey.N;найден;
ARXIV/Təhvil Abşeron/Aşağı Güzdək.xls;Aşağı Güzdək.xls;2;Лист2;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Təhvil Abşeron/Aşağı Güzdək.xls;Aşağı Güzdək.xls;3;Лист3;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Təhvil Abşeron/Bilgəh.xlsx;Bilgəh.xlsx;1;Sheet1;visible;worksheet;5;A3:L791;7;N= | Adı Soyadı | Qəsəbə | Ünvan-kücə | Ev | İnv N | Rees N;найден;
ARXIV/Təhvil Abşeron/Bilgəh.xlsx;Bilgəh.xlsx;2;Sheet2;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Təhvil Abşeron/Bilgəh.xlsx;Bilgəh.xlsx;3;Sheet3;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Təhvil Abşeron/Buzovna.xls;Buzovna.xls;1;Buzovna;visible;worksheet;2;A1:R4016;15;Ünvan | Ərizə | Tex Pasp | Qeydvəs | Arayışı | Əmrdən çıxarış | Müayinə aktı | Qərar. Çıxar. | Arayiş | Sərənc Çıxarış | Alqı-satqı müqav. | Digər sənəd. | Qiymətləndirmə Cədvəli | İnven. №-si | Qeyd №-si;найден;
ARXIV/Təhvil Abşeron/Buzovna.xls;Buzovna.xls;2;Hövsan;visible;worksheet;2;A1:T1009;18;Ərizə | Tex. Pasp. | Qeyd.vəs. | Müay. aktı | Sovx. Əriz. | Sovx. Arayışı | Əmrdən çıxarış | İstismara Qəbul Aktı | Qərar. Çıxar. | Sərənc Çıxarış | Order | Alqı-satqı müqav. | Vərəs. şəhad. | Digər sənəd. | Qiymətləndirmə Cədvəli | İnven. N-si | Qeyd N-si | Qeyd;найден;
ARXIV/Təhvil Abşeron/Buzovna.xls;Buzovna.xls;3;Maştağa;visible;worksheet;2;A1:S435;16;Ərizə | Tex. Pasp. | Qeyd.vəs. | Müay. aktı | Sovx. Əriz. | Sovx. Arayışı | Əmrdən çıxarış | Qərar. Çıxar. | Sərənc Çıxarış | Order | Alqı-satqı müqav. | Vərəs. şəhad. | Digər sənəd. | İnven. N-si | Qeyd N-si | Qeyd;найден;
ARXIV/Təhvil Abşeron/Buzovna.xls;Buzovna.xls;4;Ramana;visible;worksheet;2;A1:R870;15;Ünvan | Ərizə | Texniki pasport | Qeyd.vəs. | Müayinə aktı | Sovx. Ərizəsi | Sovx. Arayışı | Əmrdən çıxarış | Qərardan çıxarış | Order | Alqı-satqı müqav. | Vərəsəlik şəhadət. | Digər sənədlər | İnventaN-si | Qeyd N-si;найден;
ARXIV/Təhvil Abşeron/Buzovna.xls;Buzovna.xls;5;Surax zeyt;visible;worksheet;2;A1:D119;4;№ | Soyadı, adı, atasının adı | İnven № | Qeyd №;найден;
ARXIV/Təhvil Abşeron/Buzovna.xls;Buzovna.xls;6;Aşağ Güzd;visible;worksheet;6;A3:D31;4;№ | Soyadı, adı, atasının adı | İnven № | Qeyd №;найден;
ARXIV/Təhvil Abşeron/Buzovna.xls;Buzovna.xls;7;Binə;visible;worksheet;2;A1:R436;14;Ərizə | Texniki pasport | Qeyd.vəs. | Müayinə aktı | Sovx. Ərizəsi | Sovx. Arayışı | Əmrdən çıxarış | Qərardan çıxarış | Order | Alqı-satqı müqav. | Vərəsəlik şəhadət. | Digər sənədlər | İnventaN-si | Qeyd N-si;найден;
ARXIV/Təhvil Abşeron/Buzovna.xls;Buzovna.xls;8;Kürdax;visible;worksheet;2;A1:T713;16;Ərizə | Tex. Pasp. | Qeyd.vəs. | Müay. aktı | Sovx. Əriz. | Sovx. Arayışı | Əmrdən çıxarış | Qərar. Çıxar. | Sərənc Çıxarış | Order | Alqı-satqı müqav. | Vərəs. şəhad. | Digər sənəd. | İnven. N-si | Qeyd N-si | Qeyd;найден;
ARXIV/Təhvil Abşeron/Buzovna.xls;Buzovna.xls;9;Türkan;visible;worksheet;6;A1:U854;16;Ərizə | Tex. Pasp. | Qeyd.vəs. | Müay. aktı | Sovx. Əriz. | Sovx. Arayışı | Əmrdən çıxarış | Qərar. Çıxar. | Sərənc Çıxarış | Order | Alqı-satqı müqav. | Vərəs. şəhad. | Digər sənəd. | İnven. N-si | Qeyd N-si | Tor ve dair AKT;найден;
ARXIV/Təhvil Abşeron/Buzovna.xls;Buzovna.xls;10;Sabunc;visible;worksheet;2;A1:T1006;16;Ərizə | Tex. Pasp. | Qeyd.vəs. | Müay. aktı | Sovx. Əriz. | Sovx. Arayışı | Əmrdən çıxarış | Qərar. Çıxar. | Sərənc Çıxarış | Order | Alqı-satqı müqav. | Vərəs. şəhad. | Digər sənəd. | İnven. N-si | Qeyd N-si | Qeyd;найден;
ARXIV/Təhvil Abşeron/Buzovna.xls;Buzovna.xls;11;Xət zeyt;visible;worksheet;2;A1:S3375;15;Ünvan | Ərizə | Tex Pasp | Qeydvəs | Arayışı | Əmrdən çıxarış | Müayinə aktı | Qərar. Çıxar. | Arayiş | Sərənc Çıxarış | Alqı-satqı müqav. | Digər sənəd. | Qiymətləndirmə Cədvəli | İnven. №-si | Qeyd №-si;найден;
ARXIV/Təhvil Abşeron/Buzovna.xls;Buzovna.xls;12;Лист3;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Təhvil Abşeron/Buzovna.xls;Buzovna.xls;13;Лист4;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Təhvil Abşeron/Buzovna.xls;Buzovna.xls;14;Лист5;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Təhvil Abşeron/Buzovna.xls;Buzovna.xls;15;Лист6;visible;worksheet;;A1;0;;лист пуст;
